event,frame,slot,routine,name,role,cls,blend,peak,life,mood,span,off,wild,hrot,tz,tx,ty,tr,schemeA,schemeB,leg
spawn,1737948,3,131,108 vega bulge,2,0,1,94,643,1,4937,7870,132,2,1.0713,-0.1871,0.0812,4.6875,179,10,1697
spawn,1738159,1,119,096 scanline butterfly,1,0,1,140,1695,1,17000,13593,0,0,2.0032,-0.2741,0.2106,0.0997,179,10,1697
spawn,1738252,4,411,388 rose window,0,0,0,256,869,0,17000,26869,0,0,1.1729,0.0000,0.0000,5.7845,179,10,1697
spawn,1739165,4,461,438 colour field washes,0,0,0,256,618,1,17000,4959,0,0,1.3586,0.0000,0.0000,1.6955,10,165,1698
spawn,1739797,4,69,046 rps trichrome,0,0,0,256,1031,2,17000,22529,0,0,1.0816,0.0000,0.0000,5.9840,165,6,1699
spawn,1740127,2,202,179 harmonic lantern,3,0,2,136,640,2,16968,1945,0,0,1.0692,0.2953,-0.0671,4.1888,165,6,1699
spawn,1740334,3,541,518 sheet wash,2,0,4,90,793,2,11179,30128,0,1,2.3419,0.1047,-0.1729,4.4880,165,6,1699
spawn,1740569,1,154,131 times table,1,0,1,133,1547,2,22000,12481,0,0,1.4818,-0.1565,-0.2882,0.7979,165,6,1699
spawn,1740877,4,490,467 chrome ripples,0,0,0,256,646,2,17000,6201,0,0,1.1153,0.0000,0.0000,1.6955,6,169,1700
spawn,1741515,4,342,319 lattice bloom,1,0,0,256,831,1,17000,19531,0,0,1.0282,0.0000,0.0000,1.4960,6,169,1700
spawn,1742089,3,208,185 sandpile,2,0,1,74,1043,1,7265,176,3,1,1.4839,-0.2224,0.0859,5.6848,169,37,1701
spawn,1742297,2,501,478 crawler arcs,3,0,1,108,834,1,12250,5331,0,0,0.6463,0.0388,0.2953,2.0944,169,37,1701
spawn,1742421,4,105,082 greek key,0,0,0,256,1443,2,17000,27746,0,0,1.2214,0.0000,0.0000,4.5877,169,37,1701
spawn,1743011,1,356,333 tulle gather,1,0,1,129,1186,2,17000,20126,0,0,1.0589,0.0529,-0.0482,4.5877,37,175,1702
spawn,1743798,4,345,322 quasi twelve,1,0,0,256,670,0,17000,8259,0,0,1.2518,0.0000,0.0000,3.6901,37,175,1702
spawn,1744239,2,605,582 rising embers,3,0,1,112,644,0,8085,30372,0,0,1.9786,-0.2835,-0.3000,2.1941,175,116,1703
spawn,1744442,3,611,588 pollen drift,3,0,1,113,567,0,4438,25373,0,0,2.1962,0.0365,-0.2388,0.6981,175,116,1703
spawn,1744554,4,101,078 turing garden,0,0,0,256,677,1,17000,12934,0,0,1.0973,0.0000,0.0000,5.7845,175,116,1703
spawn,1745313,4,429,406 velvet swirl,0,0,0,256,722,1,17000,31381,0,0,1.1515,0.0000,0.0000,5.1861,116,79,1704
spawn,1746012,3,144,121 chladni sand,3,0,1,109,253,1,4796,16654,0,0,1.0979,0.0953,-0.1376,3.4907,79,47,1705
spawn,1746025,4,308,285 dune perspective,1,0,0,256,890,2,17000,23896,0,0,1.0315,0.0000,0.0000,1.7952,79,47,1705
spawn,1746553,2,113,090 diamond burst,2,0,2,91,863,2,17000,5595,0,2,1.3997,0.2059,-0.2129,4.7872,79,47,1705
spawn,1746680,4,74,051 firework garden,1,0,0,256,1518,0,14000,14130,0,0,1.0578,0.0000,0.0000,3.3909,79,47,1705
spawn,1747317,3,163,140 newton filigree,3,0,1,95,788,0,3148,28155,171,2,1.2026,0.2035,-0.1612,1.4960,47,135,1706
spawn,1747488,1,94,071 silk currents,2,0,1,149,1058,0,13812,20659,0,0,2.0361,-0.1635,-0.1541,6.2832,47,135,1706
spawn,1748090,2,593,570 orrery,3,0,4,90,464,0,7769,5082,31,0,0.6340,-0.2529,-0.1400,0.8976,135,94,1707
spawn,1748275,4,19,asm,0,1,0,256,267,2,17000,847,0,0,1.4219,0.0000,0.0000,2.3936,135,94,1707
spawn,1748640,4,47,024 munch frost,0,0,0,256,1230,2,17000,27109,0,0,1.1392,0.0000,0.0000,1.4960,135,94,1707
spawn,1749076,3,206,183 string hyperboloid,3,0,2,79,626,2,9796,14477,0,0,1.2540,-0.2529,0.2271,1.3963,94,113,1708
spawn,1749257,1,336,313 plume spiral,1,0,1,149,870,2,17000,2005,36,2,0.6340,0.2506,0.1376,4.9867,94,113,1708
